run,y/R,z/H,t1_vec,t2,meanu,meanv,meanw,stdu,stdv,stdw,meanupvp,meanupwp,meanvpwp,meanupup,meanvpvp,meanwpwp,meanuu,vectemp,fpeak_u,fstrength_u,fpeak_v,fstrength_v,fpeak_w,fstrength_w,t1_perf,nbladepass,tsr,cp,cd,ct,std_tsr,std_cp,std_cd,std_ct,eta2,a,torque_ripple,amp_tsr,phase_tsr,amp_cp,phase_cp,amp_cd,phase_cd,amp_ct,phase_ct
102,0.3,0.5,13,29.54,0.7616783555018136,-0.1026840991535671,-0.1391626360338573,0.21555249010064687,0.2536984357003177,0.15347641258714922,0.007202993687575756,-0.004569205878095534,0.002471727616280345,0.04646287598858946,0.06436289627678823,0.023555009220620857,0.6266167932285369,19.47,0.9497229895470237,0.028340138933494748,2.9491398096460206,0.09690337767483827,2.149373081606422,0.0391243341218476,13,30.0,1.899944968335568,0.2314868092114432,0.96220511711697,0.11792942780897687,0.14080839528971933,0.11972542499011395,0.31063403699127384,0.05388882866246338,0.4028064817683256,0.4027417793193095,1.6024785109624409,0.197277404515088,1.9480155677198367,0.16670450296758987,1.9886574491680769,0.4210390825205884,1.662636953272293,0.07497099247565621,1.993941854111511
103,0.4,0.5,13,29.54,0.6789144498186216,-0.06186940749697702,-0.11628295042321644,0.2435341316400424,0.24300928619158618,0.21030290899165383,0.01167193378406238,-0.015208269974295576,0.0019783715944929952,0.059308873273669495,0.059053513175344234,0.04422731353035183,0.520233703446191,19.47,0.949793828253701,0.03206686270230851,2.9493597824720186,0.07968564322827416,2.9493597824720186,0.0618526710857688,13,30.0,1.8998032642727376,0.23833109950205694,0.9794144353036756,0.12134282484035365,0.1443779933165978,0.1231260619344093,0.3199312899299843,0.055149014174414784,0.4218944275159484,0.42321968919509,1.4790671730547669,0.202724990019247,1.9443928997432367,0.17203623515681918,1.9848882385396085,0.4316618774852845,1.6614937718817058,0.07702469780932047,1.9904365140035456
104,0.5,0.5,13,29.53,0.5193251663641864,-0.02665698729582577,-0.047831215970961884,0.24050942069214093,0.2137321493051057,0.19791561430752422,0.01178739421093255,-0.014750769643929587,-0.004241108409282798,0.057844781441669234,0.04568143164658,0.039170590386724685,0.32754340986085906,19.47,0.950326665287926,0.04630679045277959,2.9510143816835597,0.0299780090888414,2.9510143816835597,0.06030702367231126,13,30.0,1.8998867286939192,0.23385357574625104,0.9703243989348704,0.11912214648606925,0.1418756910611115,0.12090962378825895,0.31534292365920563,0.054328923653980406,0.4102899361429385,0.4125969481892072,1.5957107115168616,0.19866228961630786,1.949453583629872,0.16807466651699646,-0.10392463413009756,0.4253204990786597,1.664862049614792,0.07545796780412423,1.995784839831188
105,0.6,0.5,13,29.53,0.3495813672111313,-0.01710798548094374,0.022850272232304902,0.17665539116292733,0.17964366528173772,0.14843007736280103,0.009303155338201564,-0.006586467097165908,-0.004955315018999717,0.031207127226926864,0.03227184647585702,0.0220314878659271,0.15341425952813068,19.47,0.1500577955102298,0.025154966327700794,2.9511366450345187,0.03476122970383478,2.9511366450345187,0.07371761691762393,13,30.0,1.8998080178289771,0.2347646173555885,0.9696575776756228,0.11960440351066852,0.14185778922156778,0.12077946878817974,0.3133766650421675,0.05426042051051543,0.4116139579530759,0.4118011737837721,1.567549917781919,0.19895820680916967,1.9452993811099941,0.1684834671338955,1.9862094962087813,0.4242217587446637,1.6585708251563815,0.07563697317564398,1.991693767032036
106,0.7,0.5,13,29.53,0.2796826981246219,-0.025210828796128255,0.04661766485178463,0.11139653851536004,0.13258798634684638,0.10210133799771366,0.00020599238977400507,-0.0017778639048912517,-6.634558003578517e-05,0.012409188793204093,0.017579574123511525,0.010424683220923369,0.09063160042347247,19.47,0.1500622030340907,0.03265426684905029,2.9512233263371175,0.08236969593573319,2.9512233263371175,0.06685928550270652,13,30.0,1.8997522179739803,0.23801582014713984,0.9771025665258128,0.12124643328745903,0.14310326597056738,0.12231572247708605,0.3156023073454419,0.0548414214215126,0.4203921577306733,0.4205565415455449,1.524022748617064,0.200375950807386,1.9417657000085968,0.1701766770529134,1.9824167260763168,0.4280051242585824,1.6562946296158731,0.07624643059263064,1.9878369548434982
107,0.8,0.5,13,29.53,0.3169237749546279,-0.018556563823351482,0.04173926194797339,0.10774164555696472,0.10749573061284538,0.10209468465668504,6.092460554038584e-05,-0.002680361980033004,-0.00010536925529816371,0.011608262187322617,0.011555332099989423,0.01042332463514796,0.11204894131881428,19.47,2.951017702720049,0.04466556073392026,1.3504657283634123,0.022357438247600503,2.951017702720049,0.13846034988169056,13,30.0,1.899884590586396,0.2351825587807812,0.9699414205259992,0.1197351708074238,0.14332511758733352,0.1222582496552985,0.31222814098207397,0.054923975058637435,0.41246380041055175,0.41214019500650656,1.5398975901948857,0.2006842022417401,1.9539308185161488,0.17008496573394385,1.9947136360103024,0.4238655676769015,1.6669402219679348,0.0763281512913089,2.000191513816796
108,0.9,0.5,13,29.54,0.34827841596130593,-0.0166363361547763,0.030600060459492144,0.10096053585511043,0.09396754809207258,0.08251140751440637,0.0006412300681978684,-0.0007254881063129359,-0.0027088575794234487,0.010193029800151038,0.008829900094435973,0.006808132370008437,0.13149088482466748,19.47,2.949419790138884,0.07152465494264154,2.949419790138884,0.03489810753079524,2.949419790138884,0.08970576267836285,13,30.0,1.899764611666631,0.2372207644473862,0.971308383773024,0.1207695010942764,0.14422063650715747,0.12302510735135799,0.31376432204230553,0.05511191708213432,0.4166057556575827,0.41376695121086426,1.5748553546671569,0.2022400189858184,1.9513892674520277,0.17146661487214976,1.9923028463616832,0.42370277723028266,1.6667132145799648,0.07681854532845903,1.9979864583183171
109,1.0,0.5,13,29.53,0.4030030248033878,-0.001963399879007865,0.03234936479128857,0.08114413615133201,0.07471546059444928,0.06628195900419036,-0.001752614448276228,0.0013196305221875643,-0.0024347789694917563,0.0065843708317459065,0.005582400051840702,0.00439329808943317,0.1689958088324259,19.47,2.9504367826613045,0.08604255354184476,2.9504367826613045,0.046927518945165024,2.9504367826613045,0.11488104581890206,13,30.0,1.900258664375896,0.23911265322792466,0.9781565543418456,0.12164298728309515,0.1459306504526417,0.1244490837269175,0.31909504817528433,0.05570722568251973,0.4227624900973711,0.4217738322608448,1.549871927912951,0.20437783194462147,1.9465930496830128,0.17323009924547242,1.987063870360792,0.43136230304576856,1.6628256965230914,0.07748380984754608,1.9924189131506544
110,1.1,0.5,13,29.54,0.5013252720677146,-0.012659915356711004,0.03532769044740025,0.07437132726394594,0.07823756648300534,0.04973689172936052,-0.0016210317203978774,0.0008767918395038082,-0.00010881277259774036,0.005531094319000948,0.006121116809182679,0.002473758398898131,0.25685812273276903,19.47,2.9492916243911953,0.062434875526473484,2.9492916243911953,0.1166678820505575,2.9492916243911953,0.041206756003909446,13,30.0,1.8998471686948584,0.23473185016594664,0.9701459162311238,0.11946592350249904,0.1439710206646128,0.12266294856184184,0.31681583294599364,0.05508184739196436,0.4117574658997435,0.41238417990463466,1.629811509728036,0.20193079203911024,1.9441519552627629,0.17097131203519025,1.9845455772786469,0.4278745912621032,1.660547951056397,0.07673257013161172,1.9900601332423056
111,1.2,0.5,13,29.54,0.6099525392986699,-0.02629353083434099,-0.002506348246674728,0.33397210580717107,0.10377435464143067,0.06258387568192676,-0.01256588605935338,0.0006510343117670113,-0.000376868701374704,0.11153736745727626,0.010769116681245423,0.003916741495370865,0.4835794676541717,19.47,0.14997277544207396,0.18722140141115493,2.9494645836941213,0.1249073948959549,2.9494645836941213,0.12762858484463463,13,30.0,1.899735759917896,0.2374435474129951,0.9705397076816358,0.12090046585739113,0.1439467445076637,0.12247631479594973,0.31356247160222783,0.05492560626879302,0.4166779400647823,0.4128533934725129,1.5598685658427571,0.2023460986728703,1.9480349645619577,0.17165223312946692,1.9886419168850855,0.4242435446356085,1.6634418860698643,0.07694754618331053,-0.10022787881234137
112,1.3,0.5,13,29.53,0.8796473079249849,0.015548094373865699,-0.0005583787053841492,0.11311744422971405,0.12601517454043742,0.07052732676918114,-0.00647106561462797,0.000695782193112378,-0.001877656750691423,0.01279555618906247,0.01587982421445691,0.004974103821206855,0.7865749425287356,19.47,2.9512052279470162,0.12140484207312836,2.9512052279470162,0.11790650963341501,2.9512052279470162,0.10191273385940908,13,30.0,1.8997638682843048,0.23341770523305694,0.9693307901488066,0.11889281123719958,0.14195984895730215,0.12083865002741373,0.3110318730767833,0.05433058582562461,0.4091185307051349,0.4114103295357844,1.5123804223806228,0.19901556595601125,1.9377082874100693,0.16838961125298565,1.9787824940530767,0.4234823370176361,1.6531577954063281,0.0756512038294805,1.9841803312133488
113,1.4,0.5,13,29.54,1.079901753325272,0.01610187424425635,0.03114359129383313,0.07437712953030445,0.09263790770134467,0.039739625638262305,-0.0028380035945799924,0.0005683396817323147,-0.00042702641785550844,0.005531957397167687,0.008581781943282855,0.001579237845869235,1.1717197542321645,19.47,2.9490884809868545,0.058214395923704754,2.9490884809868545,0.12799663263522637,2.9490884809868545,0.011637468328378281,13,30.0,1.8999780367322416,0.2353623880186213,0.9697217156626168,0.11985584743828033,0.14272798722229502,0.12172252964482687,0.3159039255972782,0.054667953867067576,0.4126885127119638,0.4118778174049017,1.5578857473625838,0.1994513527871068,1.9382508169752035,0.1690718446324749,1.9791316610511271,0.42913263990092304,1.6546733116435557,0.0758816174556999,1.984444890300298
114,1.5,0.5,13,29.53,1.127009679370841,0.011797943133696311,0.027143678160919543,0.0376816178331388,0.04189083205966831,0.012606986233736813,-8.176029467038062e-05,-1.3723411282864294e-05,0.00014025105172761471,0.0014199043225227243,0.0017548418106513339,0.00015893610189762953,1.2715707217180883,19.47,2.950766668195731,0.19504361645853258,2.950766668195731,0.21372677392019448,0.1500389831285965,0.05926149596941539,13,30.0,1.900046222012424,0.23819367037526776,0.9805197903435998,0.12130342208967622,0.14351998654831322,0.12228987032484545,0.3178462624855951,0.05479117247644538,0.422101140958114,0.4244840996136047,1.5416971735818306,0.20137751837619705,1.94598433744224,0.17077694653108466,1.9868406810325183,0.4306532588529232,1.6631903261840781,0.07647899109722864,1.9923993846518533
115,1.6,0.5,13,29.53,1.1215154264972775,0.009795220810647307,0.0200713853599516,0.027932518031786497,0.027110617683749606,0.010367085069088568,-1.396644170034575e-05,-5.1094567650743274e-05,3.6931436142978594e-05,0.0007802255635960777,0.0007349855911944369,0.00010747645282971913,1.2585770774349667,19.47,2.950996802454917,0.06258629279753956,2.950996802454917,0.0971051867427814,0.9503210041803971,0.05657332135141412,13,30.0,1.89989804640974,0.23380397153886426,0.9654865432879209,0.1190753898193708,0.1422125128137838,0.1213338342527584,0.31154244075164605,0.05450988164302946,0.4082083487722373,0.4067690837045149,1.5771573834948245,0.1989565977596871,1.95207110288409,0.16839254136079465,-0.10136193781943244,0.4222792776810918,1.6672710657354404,0.07558956450053153,1.9982640357575492
116,1.8,0.5,13,29.54,1.0618234582829504,0.0012312575574365177,-0.00291142684401451,0.041478505453336395,0.04376423619809431,0.020201756302314272,0.00018315328126165153,-1.8208365561337294e-05,8.307806576048098e-05,0.0017204664146424568,0.0019153083700025881,0.0004081109576980944,1.129189522974607,19.47,6.1488016293064565,0.009665682393028431,0.14997077144649892,0.01302352652430711,0.14997077144649892,0.01865612645613839,13,30.0,1.8997611452781225,0.2322979826790091,0.9632091880566236,0.11832308355847546,0.14162471647966027,0.1204019590834448,0.3112959418577901,0.05416057077398745,0.4046359633768015,0.4039806738622289,1.607171989013564,0.1982315476991225,1.94655270281383,0.1675894658484341,1.987877739879078,0.4242678208210375,1.6596222596202852,0.07535078724176335,1.9932742863181576
